Day,Date,Head Count,Time
Wednesday,2024-02-07,17,16:30
Wednesday,2024-02-07,16,17:00
Wednesday,2024-02-07,11,17:40
Wednesday,2024-02-07,4,18:30
Wednesday,2024-02-07,6,19:00
Wednesday,2024-02-07,6,20:15
Wednesday,2024-02-07,0,21:45
Thursday,2024-02-08,2,10:30
Thursday,2024-02-08,4,11:50
Thursday,2024-02-08,3,13:01
Thursday,2024-02-08,4,13:58
Thursday,2024-02-08,11,14:22
Thursday,2024-02-08,8,15:12
Thursday,2024-02-08,13,15:37
Thursday,2024-02-08,9,15:41
Thursday,2024-02-08,3,16:30
Thursday,2024-02-08,6,17:00
Thursday,2024-02-08,5,18:00
Thursday,2024-02-08,8,18:30
Thursday,2024-02-08,6,19:00
Thursday,2024-02-08,7,19:30
Thursday,2024-02-08,5,20:00
Friday,2024-02-09,4,10:14
Friday,2024-02-09,6,11:58
Friday,2024-02-09,5,13:05
Friday,2024-02-09,5,13:29
Friday,2024-02-09,5,14:00
Friday,2024-02-09,7,14:30
Friday,2024-02-09,9,15:00
Friday,2024-02-09,9,15:30
Friday,2024-02-09,8,16:30
Friday,2024-02-09,9,17:00
Friday,2024-02-09,13,17:30
Friday,2024-02-09,20,18:00
Friday,2024-02-09,15,19:00
Friday,2024-02-09,12,19:20
Friday,2024-02-09,15,19:40
Friday,2024-02-09,14,20:00
Friday,2024-02-09,11,20:20
Friday,2024-02-09,14,21:30
Friday,2024-02-09,10,22:30
Friday,2024-02-09,6,23:00
Saturday,2024-02-10,2,11:05
Saturday,2024-02-10,0,11:30
Saturday,2024-02-10,5,12:30
Saturday,2024-02-10,2,13:20
Saturday,2024-02-10,10,13:50
Saturday,2024-02-10,8,14:00
Saturday,2024-02-10,12,14:30
Saturday,2024-02-10,13,15:00
Saturday,2024-02-10,13,15:32
Saturday,2024-02-10,6,16:00
Saturday,2024-02-10,6,16:30
Saturday,2024-02-10,5,17:00
Saturday,2024-02-10,12,17:30
Saturday,2024-02-10,10,18:00
Saturday,2024-02-10,11,18:30
Saturday,2024-02-10,15,19:00
Saturday,2024-02-10,16,19:20
Saturday,2024-02-10,19,19:40
Saturday,2024-02-10,22,20:00
Saturday,2024-02-10,14,20:40
Saturday,2024-02-10,8,21:00
Saturday,2024-02-10,15,21:40
Saturday,2024-02-10,15,22:30
Saturday,2024-02-10,15,23:00
Saturday,2024-02-10,10,00:00
Sunday,2024-02-11,0,10:00
Sunday,2024-02-11,0,10:30
Sunday,2024-02-11,0,11:00
Sunday,2024-02-11,5,11:30
Sunday,2024-02-11,3,12:00
Sunday,2024-02-11,7,12:30
Sunday,2024-02-11,6,13:00
Sunday,2024-02-11,10,13:30
Sunday,2024-02-11,11,14:00
Sunday,2024-02-11,3,14:31
Sunday,2024-02-11,2,15:00
Sunday,2024-02-11,0,16:00
Sunday,2024-02-11,2,16:30
Sunday,2024-02-11,5,17:00
Sunday,2024-02-11,9,17:30
Sunday,2024-02-11,7,18:20
Sunday,2024-02-11,7,18:40
Sunday,2024-02-11,6,19:00
Sunday,2024-02-11,5,19:20
Sunday,2024-02-11,3,19:40
Sunday,2024-02-11,3,20:45
Sunday,2024-02-11,0,21:45
Monday,2024-02-12,4,12:05
Monday,2024-02-12,3,12:49
Monday,2024-02-12,4,13:14
Monday,2024-02-12,2,14:47
Monday,2024-02-12,8,15:28
Monday,2024-02-12,5,15:39
Monday,2024-02-12,0,16:00
Monday,2024-02-12,3,16:30
Monday,2024-02-12,9,17:00
Monday,2024-02-12,7,17:30
Monday,2024-02-12,7,18:00
Monday,2024-02-12,7,18:30
Monday,2024-02-12,8,19:00
Monday,2024-02-12,9,19:30
Monday,2024-02-12,4,20:00
Tuesday,2024-02-13,0,10:40
Tuesday,2024-02-13,2,11:55
Tuesday,2024-02-13,1,13:30
Tuesday,2024-02-13,0,13:56
Tuesday,2024-02-13,2,14:15
Tuesday,2024-02-13,5,15:47
Tuesday,2024-02-13,7,16:00
Tuesday,2024-02-13,4,16:20
Tuesday,2024-02-13,0,16:50
Tuesday,2024-02-13,8,17:30
Tuesday,2024-02-13,10,17:50
Tuesday,2024-02-13,8,18:30
Tuesday,2024-02-13,1,19:15
Tuesday,2024-02-13,5,19:45
Tuesday,2024-02-13,0,20:00
Tuesday,2024-02-13,12,20:30
Tuesday,2024-02-13,15,21:00
Tuesday,2024-02-13,10,21:30
Tuesday,2024-02-13,4,22:00
Wednesday,2024-02-14,6,12:00
Wednesday,2024-02-14,12,12:30
Wednesday,2024-02-14,8,13:00
Wednesday,2024-02-14,11,13:30
Wednesday,2024-02-14,7,14:30
Wednesday,2024-02-14,12,15:00
Wednesday,2024-02-14,12,15:30
Wednesday,2024-02-14,11,16:00
Wednesday,2024-02-14,17,16:20
Wednesday,2024-02-14,10,16:40
Wednesday,2024-02-14,10,17:00
Wednesday,2024-02-14,10,17:20
Wednesday,2024-02-14,14,18:00
Wednesday,2024-02-14,10,18:30
Wednesday,2024-02-14,7,19:00
Wednesday,2024-02-14,8,19:30
Wednesday,2024-02-14,8,20:00
Wednesday,2024-02-14,9,21:00
Wednesday,2024-02-14,12,21:30
Wednesday,2024-02-14,3,21:50
Thursday,2024-02-15,5,14:15
Thursday,2024-02-15,6,14:30
Thursday,2024-02-15,4,15:00
Thursday,2024-02-15,0,15:15
Thursday,2024-02-15,4,15:26
Thursday,2024-02-15,7,15:55
Thursday,2024-02-15,5,16:30
Thursday,2024-02-15,5,18:00
Thursday,2024-02-15,4,18:30
Thursday,2024-02-15,15,19:00
Thursday,2024-02-15,29,19:30
Friday,2024-02-16,11,14:30
Friday,2024-02-16,10,15:00
Friday,2024-02-16,2,16:00
Friday,2024-02-16,10,16:30
Friday,2024-02-16,7,17:00
Friday,2024-02-16,12,17:30
Friday,2024-02-16,14,18:00
Friday,2024-02-16,18,18:30
Friday,2024-02-16,14,18:40
Friday,2024-02-16,15,19:30
Friday,2024-02-16,18,20:00
Friday,2024-02-16,12,21:00
Friday,2024-02-16,15,21:30
Friday,2024-02-16,9,22:00
Friday,2024-02-16,9,22:30
Friday,2024-02-16,4,23:00
Friday,2024-02-16,4,23:20
Friday,2024-02-16,5,23:40
Friday,2024-02-16,3,00:00
Saturday,2024-02-17,0,12:00
Saturday,2024-02-17,2,12:30
Saturday,2024-02-17,6,13:00
Saturday,2024-02-17,12,13:45
Saturday,2024-02-17,9,14:00
Saturday,2024-02-17,8,14:30
Saturday,2024-02-17,6,15:00
Saturday,2024-02-17,6,15:30
Saturday,2024-02-17,7,16:00
Saturday,2024-02-17,10,16:30
Saturday,2024-02-17,15,17:00
Saturday,2024-02-17,12,17:30
Saturday,2024-02-17,16,18:00
Saturday,2024-02-17,8,18:30
Saturday,2024-02-17,13,19:30
Saturday,2024-02-17,12,20:00
Saturday,2024-02-17,16,20:30
Saturday,2024-02-17,15,21:00
Saturday,2024-02-17,15,21:30
Saturday,2024-02-17,10,22:00
Saturday,2024-02-17,9,22:30
Saturday,2024-02-17,3,23:00
Saturday,2024-02-17,5,23:30
Saturday,2024-02-17,13,23:40
Saturday,2024-02-17,0,00:00
Sunday,2024-02-18,1,10:30
Sunday,2024-02-18,1,11:00
Sunday,2024-02-18,1,11:30
Sunday,2024-02-18,5,12:00
Sunday,2024-02-18,4,12:20
Sunday,2024-02-18,2,12:50
Sunday,2024-02-18,8,13:05
Sunday,2024-02-18,6,13:35
Sunday,2024-02-18,10,16:30
Sunday,2024-02-18,7,17:00
Sunday,2024-02-18,6,17:30
Sunday,2024-02-18,9,18:00
Sunday,2024-02-18,11,18:20
Sunday,2024-02-18,15,18:40
Sunday,2024-02-18,10,19:00
Sunday,2024-02-18,6,19:30
Sunday,2024-02-18,8,19:45
Sunday,2024-02-18,10,20:00
Sunday,2024-02-18,12,21:00
